Review_Text,Rating,Label
"The service was terrible, but the food was good.",3,1
"Very disappointing, I expected better.",1,1
Fantastic! Exceeded my expectations!,1,0
This product is amazing! I love it so much!,2,0
"The service was terrible, but the food was good.",2,1
I had a fantastic time! Will come again!,2,0
"Great product, highly recommend it!",3,0
"The service was terrible, but the food was good.",3,0
Not satisfied at all. It’s a waste of money.,2,1
I love this! Highly recommend!,4,1
"The service was terrible, but the food was good.",1,1
This product is amazing! I love it so much!,3,1
"Great product, highly recommend it!",3,1
Not satisfied at all. It’s a waste of money.,5,0
I love this! Highly recommend!,1,0
"The service was terrible, but the food was good.",5,0
"Great product, highly recommend it!",2,0
"Very disappointing, I expected better.",4,0
"Very disappointing, I expected better.",2,1
This is the worst product ever!,5,0
"Very disappointing, I expected better.",5,0
The quality is excellent and worth every penny.,4,1
Absolutely horrible. Do not buy this!,5,0
"The service was terrible, but the food was good.",2,1
The quality is excellent and worth every penny.,3,0
Terrible experience. The product broke on day 1.,3,1
"The service was terrible, but the food was good.",5,0
I love this! Highly recommend!,1,0
"Great product, highly recommend it!",4,1
Not satisfied at all. It’s a waste of money.,3,0
Best purchase I've made this year!,5,1
"Very disappointing, I expected better.",5,0
Not satisfied at all. It’s a waste of money.,5,0
This is the worst product ever!,4,0
Best purchase I've made this year!,4,1
This product is amazing! I love it so much!,5,1
"The service was terrible, but the food was good.",2,1
The quality is excellent and worth every penny.,1,0
This is the worst product ever!,4,0
Not satisfied at all. It’s a waste of money.,5,0
"Great product, highly recommend it!",1,0
I had a fantastic time! Will come again!,5,1
"Great product, highly recommend it!",5,1
"Great product, highly recommend it!",1,0
I wouldn't recommend this to anyone.,4,0
Absolutely horrible. Do not buy this!,2,1
I had a fantastic time! Will come again!,5,1
Not satisfied at all. It’s a waste of money.,2,1
This is the worst product ever!,5,0
"Very disappointing, I expected better.",4,0
Best purchase I've made this year!,2,0
Absolutely horrible. Do not buy this!,4,0
I wouldn't recommend this to anyone.,1,1
"Great product, highly recommend it!",5,1
Absolutely horrible. Do not buy this!,2,1
This product is amazing! I love it so much!,2,0
Awful! I will never return.,3,0
I love this! Highly recommend!,4,1
"The service was terrible, but the food was good.",5,0
I had a fantastic time! Will come again!,4,1
The quality is excellent and worth every penny.,5,1
Best purchase I've made this year!,1,0
"Great product, highly recommend it!",1,0
Terrible experience. The product broke on day 1.,1,1
Best purchase I've made this year!,1,0
This product is amazing! I love it so much!,5,1
This product is amazing! I love it so much!,5,1
I had a fantastic time! Will come again!,4,1
"Great product, highly recommend it!",1,0
"The service was terrible, but the food was good.",5,0
Awful! I will never return.,3,0
Terrible experience. The product broke on day 1.,5,0
The quality is excellent and worth every penny.,5,1
"The service was terrible, but the food was good.",3,0
The quality is excellent and worth every penny.,3,0
Awful! I will never return.,2,1
This product is amazing! I love it so much!,2,0
I wouldn't recommend this to anyone.,5,0
Not satisfied at all. It’s a waste of money.,5,0
This is the worst product ever!,5,0
I wouldn't recommend this to anyone.,5,0
I had a fantastic time! Will come again!,4,1
This is the worst product ever!,4,0
Awful! I will never return.,1,1
I love this! Highly recommend!,4,1
Best purchase I've made this year!,5,1
The quality is excellent and worth every penny.,4,1
Best purchase I've made this year!,3,0
Terrible experience. The product broke on day 1.,4,0
This is the worst product ever!,1,1
Best purchase I've made this year!,1,0
I wouldn't recommend this to anyone.,5,0
"Great product, highly recommend it!",1,0
The quality is excellent and worth every penny.,3,1
I wouldn't recommend this to anyone.,4,0
The quality is excellent and worth every penny.,3,0
This product is amazing! I love it so much!,2,0
"Great product, highly recommend it!",5,1
I wouldn't recommend this to anyone.,2,1
I had a fantastic time! Will come again!,5,1
This product is amazing! I love it so much!,3,0
Not satisfied at all. It’s a waste of money.,4,0
"Great product, highly recommend it!",2,0
"Great product, highly recommend it!",2,0
This is the worst product ever!,4,0
I love this! Highly recommend!,1,0
I love this! Highly recommend!,4,1
Awful! I will never return.,3,1
I had a fantastic time! Will come again!,2,0
I wouldn't recommend this to anyone.,5,0
I love this! Highly recommend!,3,0
Not satisfied at all. It’s a waste of money.,1,1
Not satisfied at all. It’s a waste of money.,1,1
This product is amazing! I love it so much!,1,0
"Great product, highly recommend it!",2,0
Fantastic! Exceeded my expectations!,1,0
The quality is excellent and worth every penny.,3,1
The quality is excellent and worth every penny.,3,0
I had a fantastic time! Will come again!,2,0
Best purchase I've made this year!,3,0
I had a fantastic time! Will come again!,1,0
Terrible experience. The product broke on day 1.,3,0
Terrible experience. The product broke on day 1.,1,1
This product is amazing! I love it so much!,2,0
Absolutely horrible. Do not buy this!,4,0
Awful! I will never return.,3,0
I wouldn't recommend this to anyone.,5,0
Awful! I will never return.,4,0
Terrible experience. The product broke on day 1.,4,0
I had a fantastic time! Will come again!,3,0
This is the worst product ever!,1,1
I wouldn't recommend this to anyone.,2,1
"Very disappointing, I expected better.",4,0
Awful! I will never return.,1,1
Absolutely horrible. Do not buy this!,5,0
I wouldn't recommend this to anyone.,1,1
Fantastic! Exceeded my expectations!,2,0
"Very disappointing, I expected better.",2,1
Terrible experience. The product broke on day 1.,2,1
"Great product, highly recommend it!",4,1
I love this! Highly recommend!,2,0
Terrible experience. The product broke on day 1.,2,1
Absolutely horrible. Do not buy this!,2,1
Awful! I will never return.,2,1
This is the worst product ever!,1,1
This product is amazing! I love it so much!,1,0
I love this! Highly recommend!,2,0
The quality is excellent and worth every penny.,4,1
"Great product, highly recommend it!",4,1
"The service was terrible, but the food was good.",3,0
Absolutely horrible. Do not buy this!,3,1
I had a fantastic time! Will come again!,4,1
This is the worst product ever!,3,0
Not satisfied at all. It’s a waste of money.,5,0
Terrible experience. The product broke on day 1.,4,0
The quality is excellent and worth every penny.,3,0
This is the worst product ever!,3,0
Terrible experience. The product broke on day 1.,1,1
I love this! Highly recommend!,5,1
I love this! Highly recommend!,5,1
Awful! I will never return.,3,0
Terrible experience. The product broke on day 1.,5,0
Terrible experience. The product broke on day 1.,4,0
Fantastic! Exceeded my expectations!,2,0
I wouldn't recommend this to anyone.,5,0
I love this! Highly recommend!,2,0
Best purchase I've made this year!,1,0
This is the worst product ever!,4,0
I had a fantastic time! Will come again!,2,0
The quality is excellent and worth every penny.,4,1
"Very disappointing, I expected better.",5,0
"The service was terrible, but the food was good.",4,0
I love this! Highly recommend!,1,0
Not satisfied at all. It’s a waste of money.,1,1
Fantastic! Exceeded my expectations!,3,1
I wouldn't recommend this to anyone.,4,0
I love this! Highly recommend!,3,0
Absolutely horrible. Do not buy this!,3,1
Fantastic! Exceeded my expectations!,1,0
Terrible experience. The product broke on day 1.,3,1
"Great product, highly recommend it!",2,0
Fantastic! Exceeded my expectations!,4,1
"Very disappointing, I expected better.",2,1
Best purchase I've made this year!,1,0
Absolutely horrible. Do not buy this!,2,1
"Very disappointing, I expected better.",5,0
I wouldn't recommend this to anyone.,1,1
This is the worst product ever!,2,1
This product is amazing! I love it so much!,2,0
Awful! I will never return.,5,0
I had a fantastic time! Will come again!,2,0
Not satisfied at all. It’s a waste of money.,5,0
"Great product, highly recommend it!",2,0
Terrible experience. The product broke on day 1.,4,0
"The service was terrible, but the food was good.",1,1
Best purchase I've made this year!,1,0
The quality is excellent and worth every penny.,4,1
"Great product, highly recommend it!",4,1
"The service was terrible, but the food was good.",1,1
Best purchase I've made this year!,1,0
Awful! I will never return.,1,1
"Very disappointing, I expected better.",4,0
"The service was terrible, but the food was good.",2,1
Terrible experience. The product broke on day 1.,1,1
I love this! Highly recommend!,1,0
I love this! Highly recommend!,4,1
Not satisfied at all. It’s a waste of money.,2,1
This product is amazing! I love it so much!,3,1
I wouldn't recommend this to anyone.,3,0
I love this! Highly recommend!,2,0
I wouldn't recommend this to anyone.,5,0
Absolutely horrible. Do not buy this!,4,0
"Very disappointing, I expected better.",5,0
"The service was terrible, but the food was good.",2,1
Terrible experience. The product broke on day 1.,2,1
Terrible experience. The product broke on day 1.,4,0
This product is amazing! I love it so much!,2,0
Terrible experience. The product broke on day 1.,3,1
Terrible experience. The product broke on day 1.,3,1
Best purchase I've made this year!,3,0
"Very disappointing, I expected better.",5,0
This product is amazing! I love it so much!,2,0
"The service was terrible, but the food was good.",5,0
"The service was terrible, but the food was good.",3,0
This product is amazing! I love it so much!,1,0
Best purchase I've made this year!,4,1
Best purchase I've made this year!,3,1
I had a fantastic time! Will come again!,4,1
This product is amazing! I love it so much!,5,1
The quality is excellent and worth every penny.,5,1
The quality is excellent and worth every penny.,2,0
"Great product, highly recommend it!",1,0
"The service was terrible, but the food was good.",4,0
Absolutely horrible. Do not buy this!,3,0
"The service was terrible, but the food was good.",4,0
Absolutely horrible. Do not buy this!,2,1
Terrible experience. The product broke on day 1.,5,0
Not satisfied at all. It’s a waste of money.,3,1
"Great product, highly recommend it!",2,0
"Very disappointing, I expected better.",4,0
"The service was terrible, but the food was good.",4,0
I had a fantastic time! Will come again!,5,1
"Great product, highly recommend it!",2,0
This is the worst product ever!,2,1
Best purchase I've made this year!,2,0
This is the worst product ever!,3,0
"Great product, highly recommend it!",1,0
This is the worst product ever!,1,1
Fantastic! Exceeded my expectations!,5,1
I had a fantastic time! Will come again!,1,0
Best purchase I've made this year!,2,0
Terrible experience. The product broke on day 1.,3,0
Absolutely horrible. Do not buy this!,2,1
The quality is excellent and worth every penny.,5,1
This product is amazing! I love it so much!,2,0
"The service was terrible, but the food was good.",2,1
Terrible experience. The product broke on day 1.,5,0
"Great product, highly recommend it!",2,0
Best purchase I've made this year!,4,1
Awful! I will never return.,5,0
Terrible experience. The product broke on day 1.,1,1
Absolutely horrible. Do not buy this!,1,1
"The service was terrible, but the food was good.",5,0
I had a fantastic time! Will come again!,1,0
"The service was terrible, but the food was good.",2,1
This product is amazing! I love it so much!,1,0
This product is amazing! I love it so much!,3,0
I love this! Highly recommend!,4,1
Absolutely horrible. Do not buy this!,5,0
Terrible experience. The product broke on day 1.,3,0
Fantastic! Exceeded my expectations!,4,1
I had a fantastic time! Will come again!,5,1
I had a fantastic time! Will come again!,4,1
Best purchase I've made this year!,4,1
Absolutely horrible. Do not buy this!,5,0
This is the worst product ever!,4,0
Fantastic! Exceeded my expectations!,5,1
This is the worst product ever!,2,1
"Very disappointing, I expected better.",3,1
This is the worst product ever!,5,0
Awful! I will never return.,3,0
This is the worst product ever!,3,1
"Very disappointing, I expected better.",2,1
Fantastic! Exceeded my expectations!,2,0
Terrible experience. The product broke on day 1.,1,1
"The service was terrible, but the food was good.",2,1
"Very disappointing, I expected better.",1,1
Terrible experience. The product broke on day 1.,4,0
Absolutely horrible. Do not buy this!,1,1
Best purchase I've made this year!,1,0
I love this! Highly recommend!,1,0
I had a fantastic time! Will come again!,1,0
Absolutely horrible. Do not buy this!,3,0
The quality is excellent and worth every penny.,4,1
This product is amazing! I love it so much!,2,0
I love this! Highly recommend!,1,0
I wouldn't recommend this to anyone.,4,0
"Great product, highly recommend it!",2,0
Not satisfied at all. It’s a waste of money.,5,0
Absolutely horrible. Do not buy this!,3,0
Terrible experience. The product broke on day 1.,4,0
I had a fantastic time! Will come again!,2,0
The quality is excellent and worth every penny.,3,1
I had a fantastic time! Will come again!,4,1
This product is amazing! I love it so much!,3,1
"Very disappointing, I expected better.",3,0
This product is amazing! I love it so much!,1,0
This product is amazing! I love it so much!,3,1
I love this! Highly recommend!,3,0
Absolutely horrible. Do not buy this!,2,1
Fantastic! Exceeded my expectations!,3,1
Fantastic! Exceeded my expectations!,3,1
I wouldn't recommend this to anyone.,1,1
"Very disappointing, I expected better.",4,0
I had a fantastic time! Will come again!,3,0
Not satisfied at all. It’s a waste of money.,1,1
This product is amazing! I love it so much!,5,1
The quality is excellent and worth every penny.,3,1
The quality is excellent and worth every penny.,1,0
This product is amazing! I love it so much!,4,1
Awful! I will never return.,4,0
"Great product, highly recommend it!",1,0
I love this! Highly recommend!,2,0
I had a fantastic time! Will come again!,4,1
Absolutely horrible. Do not buy this!,5,0
"Great product, highly recommend it!",1,0
The quality is excellent and worth every penny.,4,1
"Very disappointing, I expected better.",3,0
Not satisfied at all. It’s a waste of money.,2,1
Absolutely horrible. Do not buy this!,1,1
Awful! I will never return.,3,0
Awful! I will never return.,1,1
I love this! Highly recommend!,3,0
"The service was terrible, but the food was good.",4,0
The quality is excellent and worth every penny.,3,1
I had a fantastic time! Will come again!,1,0
This product is amazing! I love it so much!,4,1
Absolutely horrible. Do not buy this!,2,1
I love this! Highly recommend!,1,0
The quality is excellent and worth every penny.,3,1
I wouldn't recommend this to anyone.,5,0
"Great product, highly recommend it!",1,0
Fantastic! Exceeded my expectations!,4,1
Absolutely horrible. Do not buy this!,1,1
I had a fantastic time! Will come again!,1,0
"Great product, highly recommend it!",4,1
Best purchase I've made this year!,3,0
Absolutely horrible. Do not buy this!,4,0
Best purchase I've made this year!,5,1
Terrible experience. The product broke on day 1.,3,0
"The service was terrible, but the food was good.",3,0
Best purchase I've made this year!,4,1
Absolutely horrible. Do not buy this!,3,1
"Very disappointing, I expected better.",5,0
Awful! I will never return.,1,1
Not satisfied at all. It’s a waste of money.,1,1
"Great product, highly recommend it!",3,1
I had a fantastic time! Will come again!,1,0
This product is amazing! I love it so much!,5,1
Best purchase I've made this year!,3,0
This is the worst product ever!,3,0
"Great product, highly recommend it!",5,1
Terrible experience. The product broke on day 1.,2,1
"Great product, highly recommend it!",5,1
I love this! Highly recommend!,3,0
I had a fantastic time! Will come again!,1,0
Absolutely horrible. Do not buy this!,3,1
Terrible experience. The product broke on day 1.,1,1
I love this! Highly recommend!,1,0
The quality is excellent and worth every penny.,4,1
"The service was terrible, but the food was good.",5,0
This is the worst product ever!,2,1
I had a fantastic time! Will come again!,2,0
Terrible experience. The product broke on day 1.,3,1
I had a fantastic time! Will come again!,2,0
Terrible experience. The product broke on day 1.,1,1
I had a fantastic time! Will come again!,1,0
"Very disappointing, I expected better.",3,0
This product is amazing! I love it so much!,4,1
"Very disappointing, I expected better.",2,1
I had a fantastic time! Will come again!,2,0
This is the worst product ever!,5,0
I had a fantastic time! Will come again!,1,0
I love this! Highly recommend!,2,0
The quality is excellent and worth every penny.,1,0
"The service was terrible, but the food was good.",2,1
The quality is excellent and worth every penny.,1,0
This product is amazing! I love it so much!,1,0
This product is amazing! I love it so much!,5,1
I love this! Highly recommend!,5,1
Awful! I will never return.,5,0
"The service was terrible, but the food was good.",5,0
I love this! Highly recommend!,3,1
I love this! Highly recommend!,2,0
Best purchase I've made this year!,2,0
I had a fantastic time! Will come again!,5,1
Terrible experience. The product broke on day 1.,2,1
This product is amazing! I love it so much!,1,0
Absolutely horrible. Do not buy this!,2,1
Terrible experience. The product broke on day 1.,5,0
Best purchase I've made this year!,2,0
Absolutely horrible. Do not buy this!,4,0
Terrible experience. The product broke on day 1.,3,1
Absolutely horrible. Do not buy this!,3,1
I had a fantastic time! Will come again!,3,0
Fantastic! Exceeded my expectations!,1,0
This product is amazing! I love it so much!,4,1
Best purchase I've made this year!,2,0
Terrible experience. The product broke on day 1.,3,1
Absolutely horrible. Do not buy this!,3,1
Best purchase I've made this year!,5,1
I love this! Highly recommend!,2,0
"Very disappointing, I expected better.",3,1
I love this! Highly recommend!,5,1
"Very disappointing, I expected better.",5,0
I love this! Highly recommend!,4,1
"Great product, highly recommend it!",1,0
I had a fantastic time! Will come again!,5,1
This product is amazing! I love it so much!,4,1
I wouldn't recommend this to anyone.,5,0
Fantastic! Exceeded my expectations!,2,0
Absolutely horrible. Do not buy this!,4,0
I wouldn't recommend this to anyone.,4,0
The quality is excellent and worth every penny.,1,0
Absolutely horrible. Do not buy this!,5,0
"Very disappointing, I expected better.",4,0
"The service was terrible, but the food was good.",4,0
Terrible experience. The product broke on day 1.,1,1
I love this! Highly recommend!,5,1
"Great product, highly recommend it!",5,1
I wouldn't recommend this to anyone.,5,0
I had a fantastic time! Will come again!,3,1
I love this! Highly recommend!,4,1
The quality is excellent and worth every penny.,3,0
I love this! Highly recommend!,1,0
The quality is excellent and worth every penny.,3,1
"Great product, highly recommend it!",2,0
"Great product, highly recommend it!",2,0
"The service was terrible, but the food was good.",2,1
I wouldn't recommend this to anyone.,2,1
Absolutely horrible. Do not buy this!,1,1
This product is amazing! I love it so much!,3,1
"Great product, highly recommend it!",1,0
Absolutely horrible. Do not buy this!,3,0
Awful! I will never return.,3,1
"Great product, highly recommend it!",3,1
Absolutely horrible. Do not buy this!,4,0
I had a fantastic time! Will come again!,5,1
I wouldn't recommend this to anyone.,1,1
"The service was terrible, but the food was good.",3,1
Terrible experience. The product broke on day 1.,2,1
This is the worst product ever!,4,0
"The service was terrible, but the food was good.",1,1
"The service was terrible, but the food was good.",4,0
This product is amazing! I love it so much!,5,1
I love this! Highly recommend!,3,0
"The service was terrible, but the food was good.",5,0
Terrible experience. The product broke on day 1.,5,0
Terrible experience. The product broke on day 1.,4,0
I had a fantastic time! Will come again!,4,1
The quality is excellent and worth every penny.,4,1
"The service was terrible, but the food was good.",1,1
Best purchase I've made this year!,4,1
"Very disappointing, I expected better.",5,0
"Great product, highly recommend it!",3,0
Best purchase I've made this year!,2,0
The quality is excellent and worth every penny.,5,1
Terrible experience. The product broke on day 1.,1,1
Awful! I will never return.,4,0
"The service was terrible, but the food was good.",1,1
I wouldn't recommend this to anyone.,4,0
This product is amazing! I love it so much!,4,1
Fantastic! Exceeded my expectations!,2,0
This is the worst product ever!,3,0
I love this! Highly recommend!,1,0
I had a fantastic time! Will come again!,1,0
Absolutely horrible. Do not buy this!,3,0
I wouldn't recommend this to anyone.,4,0
This is the worst product ever!,2,1
Absolutely horrible. Do not buy this!,2,1
I wouldn't recommend this to anyone.,2,1
This product is amazing! I love it so much!,2,0
Awful! I will never return.,3,1
This product is amazing! I love it so much!,4,1
I wouldn't recommend this to anyone.,4,0
I wouldn't recommend this to anyone.,2,1
This product is amazing! I love it so much!,4,1
Awful! I will never return.,1,1
Absolutely horrible. Do not buy this!,3,1
This is the worst product ever!,2,1
The quality is excellent and worth every penny.,2,0
I wouldn't recommend this to anyone.,2,1
I love this! Highly recommend!,2,0
I had a fantastic time! Will come again!,3,1
Best purchase I've made this year!,3,0
Fantastic! Exceeded my expectations!,3,1
